校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
01301,資訊管理與財務金融學系財務金融組,3,3,"前標
前標
前標
均標
均標
前標
--","在校學業
學測數學
學測英文
學測國文
學測總級分",3,"1%
10
--
--
--",--,
01301,資訊管理與財務金融學系財務金融組【外加】,0,1,"前標
前標
前標
均標
均標
前標
--","在校學業
學測數學
學測英文
學測國文
學測總級分",0,"--
--
--
--
--",--,
01302,管理科學系,6,6,"前標
前標
前標
均標
均標
--
--","在校學業
學測數學
學測英文
學測國文
學測總級分",6,"6%
--
--
--
--",--,
01303,傳播與科技學系,5,5,"頂標
頂標
均標
前標
均標
--
--","在校學業
學測英文
學測國文
學測社會
學測數學
學測自然",5,"5%
14
--
--
--
--",--,
01303,傳播與科技學系【外加】,0,1,"頂標
頂標
均標
前標
均標
--
--","在校學業
學測英文
學測國文
學測社會
學測數學
學測自然",0,"--
--
--
--
--
--",--,
01304,外國語文學系,6,6,"前標
頂標
均標
前標
均標
--
--","在校學業
學測英文
學測國文
學測數學
學測社會
學測總級分",6,"5%
15
--
--
--
--",--,
01304,外國語文學系【外加】,0,1,"前標
頂標
均標
前標
均標
--
--","在校學業
學測英文
學測國文
學測數學
學測社會
學測總級分",0,"--
--
--
--
--
--",--,
01305,人文社會學系,7,7,"頂標
前標
均標
前標
均標
--
--","在校學業
學測國文
學測社會
學測英文
學測自然
學測數學
學測總級分",7,"13%
14
--
--
--
--
--",--,
01305,人文社會學系【外加】,0,1,"頂標
前標
均標
前標
均標
--
--","在校學業
學測國文
學測社會
學測英文
學測自然
學測數學
學測總級分",0,"--
--
--
--
--
--
--",--,
01306,電機資訊學士班,3,3,"頂標
頂標
頂標
頂標
頂標
--
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會
學測總級分",3,"1%
11
15
--
--
--
--",--,
01307,奈米科學及工程學士學位學程,4,4,"前標
前標
頂標
均標
前標
前標
--","在校學業
學測數學
學測自然
學測英文
學測總級分",4,"3%
11
15
--
--",--,
01308,理學院科學學士學位學程(乙組),1,1,"均標
前標
前標
均標
前標
前標
--","在校學業
學測數學
學測自然
學測英文
學測總級分
數學學業",1,"12%
--
--
--
--
--",--,
01309,理學院科學學士學位學程(丙組),1,1,"均標
前標
前標
均標
前標
前標
--","在校學業
學測自然
學測數學
學測英文
學測總級分
化學學業",1,"2%
--
--
--
--
--",--,
01310,電子工程學系(乙組),14,14,"均標
前標
頂標
均標
頂標
頂標
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",14,"3%
13
--
--
--
--",--,
01310,電子工程學系(乙組)【外加】,0,1,"均標
前標
頂標
均標
頂標
頂標
--","在校學業
學測數學
學測自然
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--",--,
01311,電機工程學系(甲組),2,2,"前標
前標
頂標
--
頂標
頂標
--","在校學業
學測數學
學測自然
學測總級分
學測英文",2,"1%
14
15
--
--",--,
01312,電機工程學系(乙組),38,38,"前標
前標
頂標
--
前標
前標
--","在校學業
學測數學
學測自然
學測總級分
學測英文",38,"3%
12
--
--
--",--,
01312,電機工程學系(乙組)【外加】,0,1,"前標
前標
頂標
--
前標
前標
--","在校學業
學測數學
學測自然
學測總級分
學測英文",0,"--
--
--
--
--",--,
01313,光電工程學系,9,9,"均標
前標
頂標
--
前標
前標
--","在校學業
學測數學
學測自然
學測英文
學測總級分
學測國文",9,"6%
13
--
--
--
--",--,
01313,光電工程學系【外加】,0,1,"均標
前標
頂標
--
前標
前標
--","在校學業
學測數學
學測自然
學測英文
學測總級分
學測國文",0,"--
--
--
--
--
--",--,
01314,資訊工程學系資電工程組,5,5,"前標
前標
頂標
均標
頂標
--
--","在校學業
數學學業
學測數學
學測自然
學測英文
學測國文
學測社會",5,"1%
--
--
--
--
--
--",--,
01315,資訊工程學系資訊工程組,8,8,"前標
前標
頂標
均標
頂標
--
--","在校學業
數學學業
學測數學
學測自然
學測英文
學測國文
學測社會",8,"2%
3%
--
--
--
--
--",--,
01316,資訊工程學系網路與多媒體工程組,8,8,"前標
前標
頂標
均標
頂標
--
--","在校學業
數學學業
學測數學
學測自然
學測英文
學測國文
學測社會",8,"3%
5%
--
--
--
--
--",--,
01317,材料科學與工程學系,9,9,"均標
均標
均標
均標
均標
--
--","在校學業
學測數學
學測自然
學測英文",9,"1%
8
15
--",--,
01318,機械工程學系,10,10,"均標
前標
前標
均標
前標
前標
--","在校學業
學測數學
學測自然
學測英文
學測總級分",10,"4%
11
14
--
--",--,
01319,土木工程學系,11,11,"前標
前標
前標
均標
前標
--
--","在校學業
學測總級分
學測數學
學測自然
學測英文",8,"10%
--
--
--
--",3,"8%
66
--
--
--"
01320,電子物理學系光電與奈米科學組,3,3,"前標
前標
頂標
前標
前標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
學測總級分",3,"3%
--
--
--
--
--",--,
01321,電子物理學系電子物理組,3,3,"前標
前標
頂標
前標
前標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
學測總級分",3,"6%
--
--
--
--
--",--,
01322,應用化學系,8,8,"均標
頂標
均標
均標
頂標
--
--","在校學業
學測總級分
學測自然
學測國文
學測英文",8,"3%
64
--
--
--",--,
01323,應用數學系,7,7,"均標
前標
頂標
均標
前標
均標
--","在校學業
學測總級分
學測數學
學測自然
學測英文
學測國文
學測社會",6,"19%
--
--
--
--
--
--",1,"3%
--
--
--
--
--
--"
01323,應用數學系【外加】,0,1,"均標
前標
頂標
均標
前標
均標
--","在校學業
學測總級分
學測數學
學測自然
學測英文
學測國文
學測社會",0,"--
--
--
--
--
--
--",--,
01324,資訊管理與財務金融學系資訊管理組,3,3,"均標
前標
前標
均標
前標
前標
--","在校學業
學測數學
學測英文
學測自然
學測總級分",3,"2%
--
--
--
--",--,
01324,資訊管理與財務金融學系資訊管理組【外加】,0,1,"均標
前標
前標
均標
前標
前標
--","在校學業
學測數學
學測英文
學測自然
學測總級分",0,"--
--
--
--
--",--,
01325,運輸與物流管理學系,6,6,"均標
前標
前標
均標
均標
--
--","在校學業
學測數學
學測英文
學測自然
學測國文
學測社會",6,"4%
--
--
--
--
--",--,
01326,工業工程與管理學系,8,8,"均標
前標
頂標
均標
前標
--
--","在校學業
數學學業
學測數學
學測英文
學測自然
學測國文
學測社會",8,"16%
--
--
--
--
--
--",--,
01327,生物科技學系,11,11,"均標
前標
頂標
均標
頂標
--
--","在校學業
學測總級分
學測自然
學測數學
學測英文",9,"20%
--
--
--
--",2,"6%
65
--
--
--"
